Phone,Price,Camera,Gaming,Battery,Performance,Storage
Samsung Galaxy A55 5G,29999,88,78,90,82,256
OnePlus Nord CE4 5G,24999,82,88,94,90,256
Nothing Phone 2a,23999,86,84,88,86,256
OnePlus Nord 4,29999,85,94,90,94,256
Samsung Galaxy S23 FE,39999,92,90,86,94,128
Google Pixel 8a,52999,96,78,84,91,128
iPhone 15,69900,96,88,86,95,128
OnePlus 12R,39999,90,97,92,98,256
Samsung Galaxy S24,74999,96,91,88,98,256
Nothing Phone 2,44999,91,92,89,95,256
Motorola Edge 50 Pro,31999,91,86,90,91,256
Realme GT 6,40999,89,98,91,98,256
POCO X6 Pro 5G,26999,84,97,88,96,512
Redmi Note 13 Pro+ 5G,31999,94,88,91,89,256
Vivo V30 Pro,41999,95,80,90,88,512
